event_id,fold,y_pred,y_actual,bet_side,bookmaker,american_odds,decimal_odds,won,pnl,clv,mode
op_2022-2023_OKC_SAC_2023-02-27,0,0.04749641567468643,0.00750607019290328,home,bet365,150,2.5,False,-100.0,0.00750607019290328,best_available
op_2022-2023_POR_HOU_2023-02-27,0,-0.010952816344797611,-0.011575811542570591,away,betway,425,5.25,False,-100.0,0.011575811542570591,best_available
op_2022-2023_CHA_DET_2023-02-28,0,0.007062687072902918,0.049444530159235,home,bet365,-222,1.4504504504504505,True,45.04504504504505,0.049444530159235,best_available
op_2022-2023_NYK_BOS_2023-02-28,0,0.00960259698331356,0.06074099242687225,home,betfred,163,2.63,True,163.0,0.06074099242687225,best_available
op_2022-2023_NOP_ORL_2023-02-28,0,-0.021098783239722252,0.0057523506693542,away,bet365,167,2.67,True,167.0,-0.0057523506693542,best_available
op_2022-2023_MEM_LAL_2023-03-01,0,0.008914969861507416,0.09193497896194458,home,betfred,-154,1.6493506493506493,True,64.93506493506493,0.09193497896194458,best_available
op_2022-2023_TOR_CHI_2023-03-01,0,-0.024919217452406883,-0.017655638977885246,away,bet365,170,2.7,False,-100.0,0.017655638977885246,best_available
op_2022-2023_HOU_DEN_2023-03-01,0,-0.05109164118766785,-0.053586024791002274,away,bet365,-455,1.2197802197802199,True,21.97802197802199,0.053586024791002274,best_available
op_2022-2023_DAL_IND_2023-03-01,0,0.007311053108423948,0.052685778588056564,home,bet365,-263,1.3802281368821292,False,-100.0,0.052685778588056564,best_available
op_2022-2023_GSW_POR_2023-03-01,0,-0.0364956334233284,0.024139638990163803,away,bet365,155,2.55,False,-100.0,-0.024139638990163803,best_available
op_2022-2023_LAC_MIN_2023-03-01,0,0.06589547544717789,0.010181664489209652,home,bet365,-238,1.4201680672268908,False,-100.0,0.010181664489209652,best_available
op_2022-2023_DET_CHI_2023-03-02,0,0.07009883970022202,0.0,home,bet365,210,3.1,False,-100.0,0.0,best_available
op_2022-2023_CHA_PHX_2023-03-02,0,0.010446755215525627,0.016839738935232162,home,bet365,450,5.5,False,-100.0,0.016839738935232162,best_available
op_2022-2023_MIA_PHI_2023-03-02,0,-0.011625120416283607,0.14045663177967072,away,betway,-115,1.8695652173913042,True,86.95652173913042,-0.14045663177967072,best_available
op_2022-2023_MIL_ORL_2023-03-02,0,-0.011362002231180668,-0.04267450049519539,away,betway,400,5.0,False,-100.0,0.04267450049519539,best_available
op_2022-2023_HOU_MEM_2023-03-02,0,-0.008517369627952576,-0.02099604159593582,away,bet365,-455,1.2197802197802199,True,21.97802197802199,0.02099604159593582,best_available
op_2022-2023_DAL_PHI_2023-03-03,0,-0.010963160544633865,0.0,away,betway,145,2.45,False,-100.0,-0.0,best_available
op_2022-2023_SAS_IND_2023-03-03,0,-0.015704328194260597,-0.03668511286377907,away,bet365,-159,1.6289308176100628,False,-100.0,0.03668511286377907,best_available
op_2022-2023_GSW_LAC_2023-03-03,0,-0.015490459278225899,-0.008343840017914772,away,bet365,-141,1.7092198581560285,False,-100.0,0.008343840017914772,best_available
op_2022-2023_CHA_ORL_2023-03-04,0,0.010766678489744663,-0.015299061313271523,home,betfred,145,2.45,False,-100.0,-0.015299061313271523,best_available
op_2022-2023_ATL_POR_2023-03-04,0,0.009503266774117947,0.030734609812498093,home,bet365,-263,1.3802281368821292,True,38.02281368821292,0.030734609812498093,best_available
op_2022-2023_OKC_UTA_2023-03-04,0,-0.028961798176169395,0.043478261679410934,away,bet365,-120,1.8333333333333335,False,-100.0,-0.043478261679410934,best_available
op_2022-2023_MIA_NYK_2023-03-04,0,0.019331837072968483,0.07360637187957764,home,bet365,120,2.2,False,-100.0,0.07360637187957764,best_available
op_2022-2023_CHI_PHX_2023-03-04,0,0.014577270485460758,0.08301568776369095,home,bet365,200,3.0,False,-100.0,0.08301568776369095,best_available
op_2022-2023_DEN_MEM_2023-03-04,0,0.005557085853070021,0.014887688681483269,home,bet365,-222,1.4504504504504505,True,45.04504504504505,0.014887688681483269,best_available
op_2022-2023_SAC_LAC_2023-03-04,0,0.05873478949069977,0.3374098241329193,home,bet365,165,2.65,True,165.0,0.3374098241329193,best_available
op_2022-2023_WAS_TOR_2023-03-04,0,0.026863237842917442,-0.05259400233626366,home,bet365,-110,1.9090909090909092,False,-100.0,-0.05259400233626366,best_available
op_2022-2023_SAS_HOU_2023-03-05,0,0.029001018032431602,-0.010904894210398197,home,bet365,-105,1.9523809523809523,False,-100.0,-0.010904894210398197,best_available
op_2022-2023_SAC_MIN_2023-03-05,0,0.02461177296936512,-0.04003620520234108,home,bet365,-222,1.4504504504504505,False,-100.0,-0.04003620520234108,best_available
op_2022-2023_DAL_PHX_2023-03-05,0,0.011532737873494625,-0.06342823803424835,home,betway,-110,1.9090909090909092,False,-100.0,-0.06342823803424835,best_available
op_2022-2023_CHI_IND_2023-03-05,0,0.01035022921860218,0.0,home,bet365,-222,1.4504504504504505,False,-100.0,0.0,best_available
op_2022-2023_BKN_CHA_2023-03-05,0,0.00650378642603755,-0.014757336117327213,home,betfred,-345,1.289855072463768,True,28.985507246376805,-0.014757336117327213,best_available
op_2022-2023_ORL_POR_2023-03-05,0,0.036170125007629395,0.04937684163451195,home,bet365,-120,1.8333333333333335,False,-100.0,0.04937684163451195,best_available
op_2022-2023_OKC_UTA_2023-03-06,0,-0.009211130440235138,0.011118403635919094,away,betway,188,2.88,False,-100.0,-0.011118403635919094,best_available
op_2022-2023_BOS_NYK_2023-03-06,0,-0.009211130440235138,0.0581982396543026,away,bet365,175,2.75,True,175.0,-0.0581982396543026,best_available
op_2022-2023_WAS_MIL_2023-03-06,0,0.0197539571672678,-0.06265079975128174,home,bet365,150,2.5,False,-100.0,-0.06265079975128174,best_available
op_2022-2023_LAC_MEM_2023-03-06,0,-0.007712311111390591,0.04304511472582817,away,betway,230,3.3,False,-100.0,-0.04304511472582817,best_available
op_2022-2023_MIN_PHI_2023-03-08,0,-0.015150384046137333,0.11164616793394089,away,bet365,-125,1.8,True,80.0,-0.11164616793394089,best_available
