feature,pearson_r,pearson_p,spearman_rho,spearman_p,abs_pearson,abs_spearman,avg_abs,group,p_bh,p_bonferroni,sig_bh,sig_bonferroni
tab_consensus_prob,-0.0527789406478405,0.1574360971027155,-0.050116985668735355,0.17948218948756153,0.0527789406478405,0.050116985668735355,0.051447963158287924,tabular,0.30471502665041705,1.0,False,False
tab_home_consensus_prob,-0.0527789406478405,0.1574360971027155,-0.050116985668735355,0.17948218948756153,0.0527789406478405,0.050116985668735355,0.051447963158287924,tabular,0.30471502665041705,1.0,False,False
traj_num_snapshots,-0.036916520446538925,0.3229078363879493,-0.06542160874182142,0.0795929779392336,0.036916520446538925,0.06542160874182142,0.05116906459418017,trajectory,0.48436175458192393,1.0,False,False
traj_consistent_direction_pct,0.019135616719722748,0.6084695275972206,0.07862265061008493,0.035048547082989275,0.019135616719722748,0.07862265061008493,0.04887913366490384,trajectory,0.7427519063535052,1.0,False,False
tab_away_odds_range,-0.05364121496677399,0.15075307655400003,-0.04238409251432888,0.2563639419924813,0.05364121496677399,0.04238409251432888,0.048012653740551435,tabular,0.30471502665041705,1.0,False,False
tab_best_available_decimal,0.046448029577732086,0.2135109558155015,0.04936359112868042,0.1861191844793205,0.046448029577732086,0.04936359112868042,0.04790581035320625,tabular,0.3710038414613466,1.0,False,False
tab_worst_home_odds,0.04615471884608269,0.21641890751911885,0.04840255868022605,0.19484583922382703,0.04615471884608269,0.04840255868022605,0.04727863876315437,tabular,0.3710038414613466,1.0,False,False
xsrc_pm_sharp_divergence,-0.02993994578719139,0.4227864992194443,0.06252584440923654,0.09387513099546552,0.02993994578719139,0.06252584440923654,0.04623289509821397,cross_source,0.5899346500736432,1.0,False,False
tab_avg_market_hold,0.03736604005098343,0.31704659629757787,0.05305207625495898,0.15529541957669946,0.03736604005098343,0.05305207625495898,0.0452090581529712,tabular,0.48436175458192393,1.0,False,False
xsrc_pm_sharp_divergence_abs,0.02588234841823578,0.4883580107168648,-0.061545977587070505,0.09914830815077774,0.02588234841823578,0.061545977587070505,0.04371416300265314,cross_source,0.6303392286370851,1.0,False,False
xsrc_pm_sb_divergence_abs,0.07455211877822876,0.04567814774551224,0.01274025971119656,0.733074215208644,0.07455211877822876,0.01274025971119656,0.04364618924471266,cross_source,0.2456391292106139,1.0,False,False
tab_std_home_odds,0.06814880669116974,0.06780517789541952,-0.014748767908651698,0.6929835370148754,0.06814880669116974,0.014748767908651698,0.04144878729991072,tabular,0.25928436458340026,1.0,False,False
traj_max_prob_increase,-0.049628522247076035,0.18376518289617486,-0.030212331645938614,0.4185761920050861,0.049628522247076035,0.030212331645938614,0.039920426946507326,trajectory,0.34455971793032786,1.0,False,False
pm_pm_price_velocity,0.025561552494764328,0.49376572909905,0.05324913777564935,0.1537646085358042,0.025561552494764328,0.05324913777564935,0.03940534513520684,polymarket,0.6303392286370851,1.0,False,False
tab_odds_range,0.05298416689038277,0.15582599729047486,-0.018043009086113733,0.6290915174915981,0.05298416689038277,0.018043009086113733,0.035513587988248246,tabular,0.30471502665041705,1.0,False,False
tab_home_odds_range,0.05298416689038277,0.15582599729047486,-0.018043009086113733,0.6290915174915981,0.05298416689038277,0.018043009086113733,0.035513587988248246,tabular,0.30471502665041705,1.0,False,False
pm_pm_home_prob,-0.02859019674360752,0.444006419583947,-0.04227499490600805,0.25759115542416505,0.02859019674360752,0.04227499490600805,0.03543259582480779,polymarket,0.605463299432655,1.0,False,False
traj_recent_movement_pct,-0.014027515426278114,0.7072892114680909,-0.04575593742640699,0.22041895030111547,0.014027515426278114,0.04575593742640699,0.029891726426342552,trajectory,0.8007047676997255,1.0,False,False
traj_odds_volatility,0.015695922076702118,0.6743634568415359,-0.04145569968212057,0.2669371655348994,0.015695922076702118,0.04145569968212057,0.028575810879411342,trajectory,0.7933687727547482,1.0,False,False
traj_prob_change_to_decision,0.03469303250312805,0.35292779012944575,0.02044553431376961,0.5841496468501395,0.03469303250312805,0.02044553431376961,0.02756928340844883,trajectory,0.5041825573277797,1.0,False,False
pm_pm_price_acceleration,-0.0053376611322164536,0.8863862023860873,-0.04941581296951273,0.18565337887086314,0.0053376611322164536,0.04941581296951273,0.027376737050864592,polymarket,0.9013224723363188,1.0,False,False
tab_std_market_hold,0.04544176533818245,0.22360740668685555,0.009033294237124064,0.8089321743970508,0.04544176533818245,0.009033294237124064,0.02723752978765326,tabular,0.37267901114475926,1.0,False,False
traj_first_half_vs_recent,0.010938836261630058,0.7696631529273241,0.039958136552635554,0.28461588277805905,0.010938836261630058,0.039958136552635554,0.025448486407132806,trajectory,0.8396325304661718,1.0,False,False
traj_sharp_prob_trajectory,-0.018843842670321465,0.6139458992165088,-0.025290750246910108,0.4983558403813142,0.018843842670321465,0.025290750246910108,0.022067296458615784,trajectory,0.7427519063535052,1.0,False,False
traj_avg_change_rate_to_decision,0.03746824339032173,0.3157243384110673,0.006076691087293525,0.8707865700844338,0.03746824339032173,0.006076691087293525,0.02177246723880763,trajectory,0.48436175458192393,1.0,False,False
traj_early_movement_pct,-0.004632074385881424,0.9013224723363188,0.03785729159650396,0.3107215121562085,0.004632074385881424,0.03785729159650396,0.02124468299119269,trajectory,0.9013224723363188,1.0,False,False
hours_until_event,0.014410537667572498,0.6996794019958559,-0.028018324551464725,0.4531774027791724,0.014410537667572498,0.028018324551464725,0.021214431109518612,timing,0.8007047676997255,1.0,False,False
traj_reversal_count,-0.01288559753447771,0.7301476742051506,-0.029497284498384332,0.4296790248572945,0.01288559753447771,0.029497284498384332,0.02119144101643102,trajectory,0.8112751935612784,1.0,False,False
tab_sharp_market_hold,-0.027638351544737816,0.45932999364230515,0.01135723823563957,0.7611165268333057,0.027638351544737816,0.01135723823563957,0.019497794890188692,tabular,0.6124399915230735,1.0,False,False
traj_acceleration,-0.004998341202735901,0.8935657569713503,0.029478905446225688,0.4299666364354323,0.004998341202735901,0.029478905446225688,0.017238623324480794,trajectory,0.9013224723363188,1.0,False,False
tab_num_bookmakers,0.018577810376882553,0.6189599219612544,0.013532298390771325,0.7171706983054422,0.018577810376882553,0.013532298390771325,0.016055054383826938,tabular,0.7427519063535052,1.0,False,False
traj_sequence_duration_hours,0.004933435469865799,0.8949386236513235,0.025524554621163653,0.4943917822823354,0.004933435469865799,0.025524554621163653,0.015228995045514726,trajectory,0.9013224723363188,1.0,False,False
traj_decision_tier_acceleration,0.009218738414347172,0.8050887095698797,0.018044699898164575,0.629059374553792,0.009218738414347172,0.018044699898164575,0.013631719156255873,trajectory,0.8625950459677282,1.0,False,False
tab_is_home_team,,,,,,,,tabular,,,,
tab_is_away_team,,,,,,,,tabular,,,,
pm_pm_spread,,,,,,,,polymarket,,,,
pm_pm_midpoint,,,,,,,,polymarket,,,,
pm_pm_best_bid,,,,,,,,polymarket,,,,
pm_pm_best_ask,,,,,,,,polymarket,,,,
pm_pm_volume,,,,,,,,polymarket,,,,
pm_pm_liquidity,,,,,,,,polymarket,,,,
pm_pm_bid_depth,,,,,,,,polymarket,,,,
pm_pm_ask_depth,,,,,,,,polymarket,,,,
pm_pm_imbalance,,,,,,,,polymarket,,,,
pm_pm_weighted_mid,,,,,,,,polymarket,,,,
xsrc_pm_spread_vs_sb_hold,,,,,,,,cross_source,,,,
xsrc_pm_mid_vs_sb_consensus,,,,,,,,cross_source,,,,
xsrc_pm_sb_convergence_rate,,,,,,,,cross_source,,,,
