event_id,fold,y_pred,y_actual,bet_side,american_odds,decimal_odds,won,pnl,clv
op_2023-2024_BOS_UTA_2024-01-06,4,-0.015441869385540485,-0.0186847522854805,away,850,9.5,False,-100.0,0.0186847522854805
op_2023-2024_BKN_OKC_2024-01-06,4,0.010754043236374855,0.029076620936393738,home,180,2.8,True,179.99999999999997,0.029076620936393738
op_2023-2024_PHI_NYK_2024-01-06,4,-0.0056846728548407555,-0.030297398567199707,away,200,3.0,True,200.0,0.030297398567199707
op_2023-2024_CLE_WAS_2024-01-06,4,-0.03423870727419853,-0.03502305969595909,away,475,5.75,False,-100.0,0.03502305969595909
op_2023-2024_CHI_CHA_2024-01-06,4,-0.009939411655068398,0.006181229371577501,away,290,3.9,False,-100.0,-0.006181229371577501
op_2023-2024_NOP_LAC_2024-01-06,4,-0.013972525484859943,0.0,away,-110,1.9090909090909092,True,90.90909090909092,-0.0
op_2023-2024_DAL_POR_2024-01-06,4,-0.007792890537530184,-0.09026927500963211,away,400,5.0,False,-100.0,0.09026927500963211
op_2023-2024_DEN_ORL_2024-01-06,4,-0.005765735171735287,-0.010760998353362083,away,400,5.0,True,400.0,0.010760998353362083
op_2023-2024_MIN_POR_2024-01-13,4,-0.022952837869524956,0.0,away,850,9.5,False,-100.0,-0.0
op_2023-2024_MIA_ORL_2024-01-13,4,-0.01388661377131939,-0.058143388479948044,away,135,2.35,False,-100.0,0.058143388479948044
op_2023-2024_CHI_GSW_2024-01-13,4,-0.012075932696461678,-0.01104044634848833,away,125,2.25,True,125.0,0.01104044634848833
op_2023-2024_MEM_LAC_2024-01-13,4,0.00901132170110941,-0.00651049567386508,home,270,3.7,False,-100.0,-0.00651049567386508
op_2023-2024_UTA_TOR_2024-01-13,4,0.005272683687508106,-0.030304601415991783,home,-141,1.7092198581560285,True,70.92198581560285,-0.030304601415991783
op_2023-2024_DEN_NOP_2024-01-13,4,0.005598023999482393,-0.0056183007545769215,home,-233,1.4291845493562232,True,42.91845493562232,-0.0056183007545769215
op_2023-2024_BOS_HOU_2024-01-14,4,-0.0054125115275382996,-0.007177998311817646,away,750,8.5,False,-100.0,0.007177998311817646
op_2023-2024_MEM_NYK_2024-01-14,4,0.008365192450582981,-0.07851880043745041,home,250,3.5,False,-100.0,-0.07851880043745041
op_2023-2024_DAL_NOP_2024-01-14,4,0.012509036809206009,0.11601017415523529,home,-130,1.7692307692307692,False,-100.0,0.11601017415523529
op_2023-2024_SAS_CHI_2024-01-14,4,0.0068026212975382805,-0.04103200510144234,home,170,2.7,False,-100.0,-0.04103200510144234
